Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Gonfreville-l'Orcher 76700; 1 280
Gorges 44190;  360
Gouesnou 29850;  460
Gourbeyre 97113; 1 320
Gournay-en-Bray 76220;  710
Gournay-sur-Marne 93460;  550
Goussainville 95190; 4 340
Gouvieux 60270;  580
Goyave 97128; 1 410
Grabels 34790; 1 130
Gradignan 33170; 2 310
Grand-Bourg 97112;  880
Grand-Champ 56390;  390
Grandchamps-des-Fontaines 44119;  450
Grand-Charmont 25200;  870
Grand-Couronne 76530; 1 350
Grande-Synthe 59760; 3 380
Grand-Fort-Philippe 59153;  530
Grand-Santi 97340;  400
Grans 13450;  560
Granville 50400; 1 450
Grasse 06130; 5 190
Graulhet 81300; 1 990
Gravelines 59820; 1 270
Gray 70100;  790
Grenade 31330;  990
Grenay 62160;  880
Grenoble 38000; 19 090
Gretz-Armainvilliers 77220;  890
Grézieu-la-Varenne 69290;  500
Grigny 69520; 1 110
Grigny 91350; 4 190
Groslay 95410;  840
Gros-Morne 97213; 1 740
Gruissan 11430;  800
Guebwiller 68500; 1 320
Guémené-Penfao 44290;  540
Guénange 57310;  720
Guer 56380;  510
Guérande 44350; 1 510
Guéret 23000; 1 590
Gueugnon 71130;  560
Guichen 35580;  810
Guidel 56520;  910
Guilers 29820;  600
Guilherand-Granges 07500;  850
Guînes 62340;  660
Guingamp 22200; 1 190
Guipavas 29490; 1 210
Guipry-Messac 35480;  710
Guise 02120;  790
Gujan-Mestras 33470; 2 040
Guyancourt 78280; 2 820
Habsheim 68440;  420
Hagondange 57300;  960
Haguenau 67500; 3 800
Haillicourt 62940;  620
Halluin 59250; 2 240
Harfleur 76700; 1 260
Harnes 62440; 1 540
Hasparren 64240;  650
Haubourdin 59320; 1 720
Haute-Goulaine 44115;  380
Hautmont 59330; 2 620
Hauts de Bienne 39400;  680
Hayange 57240; 1 720
Hazebrouck 59190; 2 130
Heillecourt 54180;  310
Hem 59510; 2 270
Hendaye 64700; 1 960
Hénin-Beaumont 62110; 3 700
Hennebont 56700; 1 730
Herbignac 44410;  600
Herblay 95220; 3 140
Héric 44810;  480
Héricourt 70400; 1 230
Hérouville-Saint-Clair 14200; 3 300
Hersin-Coupigny 62530;  670
Hettange-Grande 57330;  420
Hirson 02500; 1 570
Hoenheim 67800; 1 180
Hombourg-Haut 57470;  710
Homécourt 54310;  780
Honfleur 14600;  970
Horbourg-Wihr 68180;  450
Houdain 62150;  810
Houilles 78800; 2 880
Houplines 59116;  800
Huningue 68330;  860
Hyères 83400; 6 390
Idron 64320;  350
Ifs 14123; 1 250
Igny 91430;  620
Ille-sur-Têt 66130; 1 130
Illkirch-Graffenstaden 67400; 2 760
Illzach 68110; 1 990
Ingré 45140;  960
Inzinzac-Lochrist 56650;  650
Irigny 69540;  770
Isbergues 62330;  880
Isle 87170;  600
Issoire 63500; 1 740
Issoudun 36100; 1 350
Issy-les-Moulineaux 92130; 5 650
Istres 13800; 5 170
Itteville 91760;  410
Ivry-sur-Seine 94200; 8 640
Izon 33450;  560
Jacou 34830;  580
Janzé 35150;  660
Jarny 54800;  860
Jarville-la-Malgrange 54140; 1 360
Jassans-Riottier 01480;  520
Jaunay-Clan 86130;  660
Jeumont 59460; 1 630
Joeuf 54240;  850
Joigny 89300; 1 480
Joinville-le-Pont 94340; 1 710
Jonage 69330;  410
Jonquières 84150;  560
Jouars-Pontchartrain 78760;  320
Joué-lès-Tours 37300; 4 370
Jouy-en-Josas 78350;  360
Jouy-le-Moutier 95280; 1 590
Jurançon 64110;  700
Juvignac 34990; 1 890
Juvisy-sur-Orge 91260; 2 170
Kembs 68680;  500
Kervignac 56700;  500
Kingersheim 68260; 1 370
Kourou 97310; 4 080
L' Île-d'Yeu 85350;  430
La Balme-de-Sillingy 74330;  440
La Bassée 59480;  800
La Baule-Escoublac 44500; 1 500
La Bouilladisse 13720;  480
La Cadière-d'Azur 83740;  410
La Celle-Saint-Cloud 78170; 1 660
La Chapelle-Basse-Mer 44450;  520
La Chapelle-d'Armentières 59930;  840
La Chapelle-Saint-Luc 10600; 2 220
La Chapelle-Saint-Mesmin 45380; 1 040
La Chapelle-sur-Erdre 44240; 1 390
La Charité-sur-Loire 58400;  470
La Chevrolière 44118;  470
